127.0.0.1 - - [20/Aug/2025:11:21:36 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:22:00 +0900] "GET /testjsp/html/test01.jsp HTTP/1.1" 200 1978
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:22:00 +0900] "GET /testjsp/image/ramjii.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:22:00 +0900] "GET /testjsp/image/ramjiii.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:22:00 +0900] "GET /testjsp/image/ramjiiii.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:22:00 +0900] "GET /testjsp/html/html/ramjii.jpg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:22:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:22:04 +0900] "GET /testjsp/html/test02.jsp HTTP/1.1" 200 7505
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:23:25 +0900] "GET /testjsp/html/test02.jsp HTTP/1.1" 200 7505
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:23:26 +0900] "GET /testjsp/html/test02.jsp HTTP/1.1" 200 7505
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:23:50 +0900] "GET /testjsp/html/test02.jsp HTTP/1.1" 200 7505
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:23:51 +0900] "GET /testjsp/html/test02.jsp HTTP/1.1" 200 7505
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:23:52 +0900] "GET /testjsp/html/test02.jsp HTTP/1.1" 200 7505
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:23:53 +0900] "GET /testjsp/html/test02.jsp HTTP/1.1" 200 7505
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:23:54 +0900] "GET /testjsp/html/test02.jsp HTTP/1.1" 200 7505
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:24:09 +0900] "GET /testjsp/html/test01.jsp HTTP/1.1" 200 2024
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:24:09 +0900] "GET /testjsp/html/html/ramjii.jpg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:24:09 +0900] "GET /testjsp/html/style.css HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:30:19 +0900] "GET /testjsp/html/test01.jsp HTTP/1.1" 200 2024
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:30:19 +0900] "GET /testjsp/html/html/ramjii.jpg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:30:19 +0900] "GET /testjsp/html/style.css HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:30:19 +0900] "GET /testjsp/image/green.PNG HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:30:20 +0900] "GET /testjsp/html/test01.jsp HTTP/1.1" 200 2024
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:30:20 +0900] "GET /testjsp/html/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:30:20 +0900] "GET /testjsp/html/html/ramjii.jpg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:30:20 +0900] "GET /testjsp/image/green.PNG HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:32:04 +0900] "GET /testjsp/html/test01.jsp HTTP/1.1" 200 2024
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:32:04 +0900] "GET /testjsp/html/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:32:04 +0900] "GET /testjsp/html/html/ramjii.jpg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:32:04 +0900] "GET /testjsp/image/green.PNG HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:32:04 +0900] "GET /testjsp/html/test01.jsp HTTP/1.1" 200 2024
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:32:04 +0900] "GET /testjsp/html/html/ramjii.jpg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:32:04 +0900] "GET /testjsp/image/green.PNG HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:32:39 +0900] "GET /testjsp/html/test01.jsp HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:32:39 +0900] "GET /testjsp/html/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:32:39 +0900] "GET /testjsp/image/green.PNG HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:32:39 +0900] "GET /testjsp/html/html/ramjii.jpg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:32:39 +0900] "GET /testjsp/image/green.PNG HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:32:40 +0900] "GET /testjsp/html/test01.jsp HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:32:40 +0900] "GET /testjsp/image/green.PNG HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:32:40 +0900] "GET /testjsp/html/html/ramjii.jpg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:32:40 +0900] "GET /testjsp/html/test01.jsp HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:32:40 +0900] "GET /testjsp/image/green.PNG HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:32:40 +0900] "GET /testjsp/html/html/ramjii.jpg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:32:42 +0900] "GET /testjsp/html/test01.jsp HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:32:42 +0900] "GET /testjsp/image/green.PNG HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:32:42 +0900] "GET /testjsp/html/html/ramjii.jpg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:32:42 +0900] "GET /testjsp/html/test01.jsp HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:32:42 +0900] "GET /testjsp/image/green.PNG HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:32:42 +0900] "GET /testjsp/html/html/ramjii.jpg HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:33:08 +0900] "GET /testjsp/html/test01.jsp HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:33:08 +0900] "GET /testjsp/html/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:33:08 +0900] "GET /testjsp/image/green.jpg HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [20/Aug/2025:11:33:08 +0900] "GET /testjsp/html/html/ramjii.jpg HTTP/1.1" 404 847
